Date : 2022-05-08 23:12:16
Directory : c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations
Total : 4402 files,  1243208 codes, 566165 comments, 242171 blanks, all 2051544 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| venv\Lib\site-packages\scipy\optimize\_trlib                                                                                                                  |          2 |         33 |          0 |         11 |         44 |
| venv\Lib\site-packages\scipy\optimize\_trustregion_constr                                                                                                     |         14 |      2,277 |      1,065 |        450 |      3,792 |
| venv\Lib\site-packages\scipy\optimize\_trustregion_constr\tests                                                                                               |          5 |        904 |         87 |        179 |      1,170 |
| venv\Lib\site-packages\scipy\optimize\cython_optimize                                                                                                         |          1 |          0 |        132 |          1 |        133 |
| venv\Lib\site-packages\scipy\optimize\tests                                                                                                                   |         36 |     11,321 |      1,666 |      2,834 |     15,821 |
| venv\Lib\site-packages\scipy\signal                                                                                                                           |         37 |     16,982 |     16,782 |      4,050 |     37,814 |
| venv\Lib\site-packages\scipy\signal\tests                                                                                                                     |         18 |     10,828 |      1,427 |      2,346 |     14,601 |
| venv\Lib\site-packages\scipy\signal\windows                                                                                                                   |          3 |        360 |      1,701 |        119 |      2,180 |
| venv\Lib\site-packages\scipy\sparse                                                                                                                           |         94 |     18,967 |      8,674 |      4,906 |     32,547 |
| venv\Lib\site-packages\scipy\sparse\csgraph                                                                                                                   |         14 |        989 |        275 |        265 |      1,529 |
| venv\Lib\site-packages\scipy\sparse\csgraph\tests                                                                                                             |         10 |        821 |         63 |        226 |      1,110 |
| venv\Lib\site-packages\scipy\sparse\linalg                                                                                                                    |         50 |      8,817 |      4,659 |      2,261 |     15,737 |
| venv\Lib\site-packages\scipy\sparse\linalg\dsolve                                                                                                             |          6 |        915 |        528 |        237 |      1,680 |
| venv\Lib\site-packages\scipy\sparse\linalg\dsolve\tests                                                                                                       |          2 |        595 |         53 |        131 |        779 |
| venv\Lib\site-packages\scipy\sparse\linalg\eigen                                                                                                              |         12 |      2,453 |      1,133 |        605 |      4,191 |
| venv\Lib\site-packages\scipy\sparse\linalg\eigen\arpack                                                                                                       |          5 |      1,802 |        802 |        405 |      3,009 |
| venv\Lib\site-packages\scipy\sparse\linalg\eigen\arpack\tests                                                                                                 |          2 |        703 |        119 |        203 |      1,025 |
| venv\Lib\site-packages\scipy\sparse\linalg\eigen\lobpcg                                                                                                       |          5 |        636 |        323 |        190 |      1,149 |
| venv\Lib\site-packages\scipy\sparse\linalg\eigen\lobpcg\tests                                                                                                 |          2 |        250 |         83 |         74 |        407 |
| venv\Lib\site-packages\scipy\sparse\linalg\isolve                                                                                                             |         18 |      2,628 |      1,398 |        746 |      4,772 |
| venv\Lib\site-packages\scipy\sparse\linalg\isolve\tests                                                                                                       |          9 |      1,129 |        139 |        349 |      1,617 |
| venv\Lib\site-packages\scipy\sparse\linalg\tests                                                                                                              |          7 |      1,411 |        172 |        318 |      1,901 |
| venv\Lib\site-packages\scipy\sparse\tests                                                                                                                     |         10 |      4,586 |        511 |      1,122 |      6,219 |
| venv\Lib\site-packages\scipy\spatial                                                                                                                          |         28 |      7,813 |      5,278 |      1,919 |     15,010 |
| venv\Lib\site-packages\scipy\spatial\tests                                                                                                                    |          9 |      4,210 |        650 |        950 |      5,810 |
| venv\Lib\site-packages\scipy\spatial\transform                                                                                                                |          9 |      1,977 |      1,663 |        592 |      4,232 |
| venv\Lib\site-packages\scipy\spatial\transform\tests                                                                                                          |          4 |      1,058 |         60 |        350 |      1,468 |
| venv\Lib\site-packages\scipy\special                                                                                                                          |         72 |     13,071 |     14,541 |      3,120 |     30,732 |
| venv\Lib\site-packages\scipy\special\_precompute                                                                                                              |         11 |        389 |        149 |        125 |        663 |
| venv\Lib\site-packages\scipy\special\tests                                                                                                                    |         42 |      8,234 |        688 |      2,030 |     10,952 |
| venv\Lib\site-packages\scipy\stats                                                                                                                            |         40 |     25,772 |     22,405 |      6,870 |     55,047 |
| venv\Lib\site-packages\scipy\stats\tests                                                                                                                      |         17 |     12,974 |      2,335 |      3,128 |     18,437 |
| venv\Lib\site-packages\setuptools                                                                                                                             |        121 |     23,335 |     10,890 |      5,561 |     39,786 |
| venv\Lib\site-packages\setuptools\_distutils                                                                                                                  |         54 |     10,052 |      4,482 |      2,340 |     16,874 |
| venv\Lib\site-packages\setuptools\_distutils\command                                                                                                          |         24 |      4,332 |      1,229 |        929 |      6,490 |
| venv\Lib\site-packages\setuptools\_vendor                                                                                                                     |         14 |      4,564 |      3,462 |      1,130 |      9,156 |
| venv\Lib\site-packages\setuptools\_vendor\packaging                                                                                                           |         11 |      1,570 |        803 |        550 |      2,923 |
| venv\Lib\site-packages\setuptools\command                                                                                                                     |         26 |      4,253 |        989 |        919 |      6,161 |
| venv\Lib\site-packages\setuptools\extern                                                                                                                      |          1 |         40 |         17 |         10 |         67 |
| venv\Lib\site-packages\six-1.15.0.dist-info                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\slycot                                                                                                                                 |         25 |      2,528 |      5,899 |        545 |      8,972 |
| venv\Lib\site-packages\slycot\tests                                                                                                                           |         17 |      1,245 |        355 |        304 |      1,904 |
| venv\Lib\site-packages\tornado                                                                                                                                |         77 |     25,112 |     11,162 |      5,118 |     41,392 |
| venv\Lib\site-packages\tornado-6.1.dist-info                                                                                                                  |          1 |          1 |          0 |          0 |          1 |
| venv\Lib\site-packages\tornado\platform                                                                                                                       |          4 |        481 |        266 |        103 |        850 |
| venv\Lib\site-packages\tornado\test                                                                                                                           |         42 |     12,814 |      1,861 |      2,792 |     17,467 |
| venv\Lib\site-packages\tornado\test\static                                                                                                                    |          2 |         24 |          0 |          2 |         26 |
| venv\Lib\site-packages\tornado\test\static\dir                                                                                                                |          1 |          1 |          0 |          1 |          2 |
| venv\Lib\site-packages\tornado\test\templates                                                                                                                 |          1 |          1 |          0 |          1 |          2 |
| venv\Lib\site-packages\wheel                                                                                                                                  |         16 |      1,678 |        590 |        440 |      2,708 |
| venv\Lib\site-packages\wheel\cli                                                                                                                              |          4 |        292 |         85 |         88 |        465 |
| venv\Lib\site-packages\wheel\vendored                                                                                                                         |          4 |        530 |        248 |        126 |        904 |
| venv\Lib\site-packages\wheel\vendored\packaging                                                                                                               |          3 |        530 |        248 |        125 |        903 |
| venv\Lib\sqlite3                                                                                                                                              |         13 |      2,483 |        528 |        557 |      3,568 |
| venv\Lib\sqlite3\test                                                                                                                                         |         10 |      2,410 |        450 |        523 |      3,383 |
| venv\Lib\test                                                                                                                                                 |          4 |      2,332 |      1,056 |        487 |      3,875 |
| venv\Lib\test\support                                                                                                                                         |          3 |      2,332 |      1,055 |        486 |      3,873 |
| venv\Lib\tkinter                                                                                                                                              |         32 |     10,252 |      3,710 |      2,926 |     16,888 |
| venv\Lib\tkinter\test                                                                                                                                         |         18 |      5,310 |        268 |      1,156 |      6,734 |
| venv\Lib\tkinter\test\test_tkinter                                                                                                                            |          9 |      2,750 |         29 |        471 |      3,250 |
| venv\Lib\tkinter\test\test_ttk                                                                                                                                |          5 |      1,978 |        209 |        564 |      2,751 |
| venv\Lib\turtledemo                                                                                                                                           |         22 |      1,705 |        432 |        296 |      2,433 |
| venv\Lib\unittest                                                                                                                                             |         42 |     15,983 |      2,626 |      4,308 |     22,917 |
| venv\Lib\unittest\test                                                                                                                                        |         30 |     11,767 |      1,305 |      3,353 |     16,425 |
| venv\Lib\unittest\test\testmock                                                                                                                               |         12 |      5,405 |        191 |      1,797 |      7,393 |
| venv\Lib\urllib                                                                                                                                               |          6 |      2,858 |        930 |        586 |      4,374 |
| venv\Lib\venv                                                                                                                                                 |          6 |        502 |        233 |         90 |        825 |
| venv\Lib\venv\scripts                                                                                                                                         |          4 |        164 |        112 |         60 |        336 |
| venv\Lib\venv\scripts\common                                                                                                                                  |          1 |        104 |        105 |         33 |        242 |
| venv\Lib\venv\scripts\nt                                                                                                                                      |          2 |         39 |          0 |         17 |         56 |
| venv\Lib\venv\scripts\posix                                                                                                                                   |          1 |         21 |          7 |         10 |         38 |
| venv\Lib\wsgiref                                                                                                                                              |          6 |        827 |        480 |        255 |      1,562 |
| venv\Lib\xml                                                                                                                                                  |         22 |      5,464 |      1,867 |      1,203 |      8,534 |
| venv\Lib\xml\dom                                                                                                                                              |          8 |      3,011 |        421 |        635 |      4,067 |
| venv\Lib\xml\etree                                                                                                                                            |          5 |      1,527 |        878 |        242 |      2,647 |
| venv\Lib\xml\parsers                                                                                                                                          |          2 |          4 |         10 |          4 |         18 |
| venv\Lib\xml\sax                                                                                                                                              |          6 |        921 |        541 |        319 |      1,781 |
| venv\Lib\xmlrpc                                                                                                                                               |          3 |      1,281 |        895 |        339 |      2,515 |
| venv\Library                                                                                                                                                  |        891 |    316,815 |    130,491 |     62,540 |    509,846 |
| venv\Library\bin                                                                                                                                              |          2 |        189 |         25 |         21 |        235 |
| venv\Library\include                                                                                                                                          |        642 |    144,845 |    108,596 |     40,382 |    293,823 |
| venv\Library\include\X11                                                                                                                                      |         13 |      3,555 |        730 |        529 |      4,814 |
| venv\Library\include\clang                                                                                                                                    |        406 |     93,409 |     52,083 |     28,010 |    173,502 |
| venv\Library\include\clang-c                                                                                                                                  |          7 |      1,713 |      4,830 |        822 |      7,365 |
| venv\Library\include\clang\ARCMigrate                                                                                                                         |          3 |        163 |         65 |         60 |        288 |
| venv\Library\include\clang\AST                                                                                                                                |         83 |     38,138 |     18,843 |     10,860 |     67,841 |
| venv\Library\include\clang\ASTMatchers                                                                                                                        |          8 |      3,323 |      4,951 |        809 |      9,083 |
| venv\Library\include\clang\ASTMatchers\Dynamic                                                                                                                |          4 |        444 |        359 |        130 |        933 |
| venv\Library\include\clang\Analysis                                                                                                                           |         28 |      6,131 |      1,763 |      1,797 |      9,691 |
| venv\Library\include\clang\Analysis\Analyses                                                                                                                  |         16 |      3,772 |        964 |      1,111 |      5,847 |
| venv\Library\include\clang\Analysis\DomainSpecific                                                                                                            |          2 |         36 |         30 |         24 |         90 |
| venv\Library\include\clang\Analysis\FlowSensitive                                                                                                             |          1 |         76 |         66 |         31 |        173 |
| venv\Library\include\clang\Analysis\Support                                                                                                                   |          1 |        172 |         40 |         39 |        251 |
| venv\Library\include\clang\Basic                                                                                                                              |         56 |      6,613 |      4,143 |      2,093 |     12,849 |
| venv\Library\include\clang\CodeGen                                                                                                                            |          9 |      1,201 |        416 |        316 |      1,933 |
| venv\Library\include\clang\Config                                                                                                                             |          1 |         21 |         23 |         21 |         65 |
| venv\Library\include\clang\Driver                                                                                                                             |         15 |      1,543 |        868 |        586 |      2,997 |
| venv\Library\include\clang\Edit                                                                                                                               |          5 |        269 |         42 |         83 |        394 |
| venv\Library\include\clang\Format                                                                                                                             |          1 |        378 |      1,261 |        133 |      1,772 |
| venv\Library\include\clang\Frontend                                                                                                                           |         30 |      2,669 |      1,744 |        955 |      5,368 |
| venv\Library\include\clang\FrontendTool                                                                                                                       |          1 |          7 |         17 |          7 |         31 |
| venv\Library\include\clang\Index                                                                                                                              |          6 |        283 |         82 |        100 |        465 |
| venv\Library\include\clang\Lex                                                                                                                                |         28 |      3,963 |      3,339 |      1,461 |      8,763 |
| venv\Library\include\clang\Parse                                                                                                                              |          4 |      2,139 |        748 |        467 |      3,354 |
| venv\Library\include\clang\Rewrite                                                                                                                            |         10 |        481 |        368 |        199 |      1,048 |
| venv\Library\include\clang\Rewrite\Core                                                                                                                       |          6 |        341 |        270 |        131 |        742 |
| venv\Library\include\clang\Rewrite\Frontend                                                                                                                   |          4 |        140 |         98 |         68 |        306 |
| venv\Library\include\clang\Sema                                                                                                                               |         32 |     13,508 |      6,553 |      3,512 |     23,573 |
| venv\Library\include\clang\Serialization                                                                                                                      |         10 |      3,046 |      2,417 |      1,150 |      6,613 |
| venv\Library\include\clang\StaticAnalyzer                                                                                                                     |         54 |      8,410 |      3,270 |      2,984 |     14,664 |
| venv\Library\include\clang\StaticAnalyzer\Checkers                                                                                                            |          5 |        346 |        169 |        115 |        630 |
| venv\Library\include\clang\StaticAnalyzer\Core                                                                                                                |         45 |      7,978 |      3,040 |      2,824 |     13,842 |
| venv\Library\include\clang\StaticAnalyzer\Core\BugReporter                                                                                                    |          5 |      1,117 |        419 |        401 |      1,937 |
| venv\Library\include\clang\StaticAnalyzer\Core\PathSensitive                                                                                                  |         33 |      5,720 |      2,038 |      2,063 |      9,821 |
| venv\Library\include\clang\StaticAnalyzer\Frontend                                                                                                            |          4 |         86 |         61 |         45 |        192 |
| venv\Library\include\clang\Tooling                                                                                                                            |         22 |      1,123 |      1,170 |        417 |      2,710 |
| venv\Library\include\clang\Tooling\Core                                                                                                                       |          4 |        229 |        270 |         98 |        597 |
| venv\Library\include\clang\Tooling\Refactoring                                                                                                                |          6 |        241 |        154 |         91 |        486 |
| venv\Library\include\clang\Tooling\Refactoring\Rename                                                                                                         |          4 |        109 |         73 |         45 |        227 |
| venv\Library\include\freetype                                                                                                                                 |         52 |      4,136 |     18,238 |      2,518 |     24,892 |
| venv\Library\include\freetype\config                                                                                                                          |          8 |        404 |      1,694 |        402 |      2,500 |
| venv\Library\include\libpng16                                                                                                                                 |          3 |      1,838 |      1,849 |        405 |      4,092 |
| venv\Library\include\lzma                                                                                                                                     |         14 |        623 |      3,347 |        446 |      4,416 |
| venv\Library\include\openssl                                                                                                                                  |        105 |     22,284 |      5,211 |      4,703 |     32,198 |
| venv\Library\lib                                                                                                                                              |        113 |    141,620 |     19,749 |     16,703 |    178,072 |
| venv\Library\lib\clang                                                                                                                                        |         93 |    138,877 |     19,078 |     16,290 |    174,245 |
| venv\Library\lib\clang\5.0.0                                                                                                                                  |         93 |    138,877 |     19,078 |     16,290 |    174,245 |
| venv\Library\lib\clang\5.0.0\include                                                                                                                          |         93 |    138,877 |     19,078 |     16,290 |    174,245 |
| venv\Library\lib\cmake                                                                                                                                        |         10 |        751 |          0 |        196 |        947 |
| venv\Library\lib\cmake\clang                                                                                                                                  |          3 |        462 |          0 |        133 |        595 |
| venv\Library\lib\cmake\freetype                                                                                                                               |          3 |        138 |          0 |         29 |        167 |
| venv\Library\lib\cmake\zstd                                                                                                                                   |          4 |        151 |          0 |         34 |        185 |
| venv\Library\lib\libpng                                                                                                                                       |          2 |        112 |          0 |         23 |        135 |
| venv\Library\lib\nmake                                                                                                                                        |          1 |        514 |        184 |        118 |        816 |
| venv\Library\lib\tdbc1.1.1                                                                                                                                    |          1 |         30 |         35 |         17 |         82 |
| venv\Library\lib\thread2.8.5                                                                                                                                  |          4 |      1,281 |        352 |         12 |      1,645 |
| venv\Library\libexec                                                                                                                                          |          2 |          2 |          0 |          2 |          4 |
| venv\Library\mingw-w64                                                                                                                                        |          2 |      4,402 |        456 |        911 |      5,769 |
| venv\Library\mingw-w64\include                                                                                                                                |          2 |      4,402 |        456 |        911 |      5,769 |
| venv\Library\misc                                                                                                                                             |          2 |        313 |         58 |         46 |        417 |
| venv\Library\share                                                                                                                                            |        128 |     25,444 |      1,607 |      4,475 |     31,526 |
| venv\Library\share\clang                                                                                                                                      |          5 |        291 |        111 |         53 |        455 |
| venv\Library\share\doc                                                                                                                                        |        118 |     23,970 |      1,140 |      4,178 |     29,288 |
| venv\Library\share\doc\tiff                                                                                                                                   |        118 |     23,970 |      1,140 |      4,178 |     29,288 |
| venv\Library\share\doc\tiff\html                                                                                                                              |        118 |     23,970 |      1,140 |      4,178 |     29,288 |
| venv\Library\share\doc\tiff\html\man                                                                                                                          |         64 |     15,134 |      1,015 |      2,129 |     18,278 |
| venv\Library\share\scan-build                                                                                                                                 |          2 |        394 |        110 |         52 |        556 |
| venv\Library\share\scan-view                                                                                                                                  |          3 |        789 |        246 |        192 |      1,227 |
| venv\Scripts                                                                                                                                                  |          9 |         42 |          5 |         27 |         74 |
| venv\Tools                                                                                                                                                    |         99 |     11,849 |      2,954 |      2,109 |     16,912 |
| venv\Tools\demo                                                                                                                                               |         13 |      2,023 |        280 |        393 |      2,696 |
| venv\Tools\i18n                                                                                                                                               |          3 |        654 |        283 |         95 |      1,032 |
| venv\Tools\parser                                                                                                                                             |          1 |        596 |         32 |         92 |        720 |
| venv\Tools\pynche                                                                                                                                             |         13 |      1,648 |        523 |        286 |      2,457 |
| venv\Tools\scripts                                                                                                                                            |         69 |      6,928 |      1,836 |      1,243 |     10,007 |
| venv\conda-meta                                                                                                                                               |         48 |     91,003 |          0 |          0 |     91,003 |
| venv\include                                                                                                                                                  |        134 |     10,700 |      5,689 |      3,237 |     19,626 |
| venv\include\cpython                                                                                                                                          |         15 |      1,655 |      1,189 |        590 |      3,434 |
| venv\include\internal                                                                                                                                         |         21 |      1,418 |        451 |        380 |      2,249 |
| venv\info                                                                                                                                                     |          1 |         59 |          0 |          0 |         59 |
| venv\info\info_json.d                                                                                                                                         |          1 |         59 |          0 |          0 |         59 |
| venv\tcl                                                                                                                                                      |         22 |      1,016 |        342 |        306 |      1,664 |
| venv\tcl\nmake                                                                                                                                                |          1 |        514 |        184 |        118 |        816 |
| venv\tcl\tix8.4.3                                                                                                                                             |         19 |        447 |         58 |        141 |        646 |
| venv\tcl\tix8.4.3\pref                                                                                                                                        |         18 |        443 |         58 |        139 |        640 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                                                                      | language         | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\controlib\comms.py                                                                           | Python           |         19 |         10 |          6 |         35 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\controlib\cooperativepathfollowing.py                                                        | Python           |        160 |         22 |         41 |        223 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\controlib\kinematics.py                                                                      | Python           |         33 |          8 |         14 |         55 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\controlib\pathfollowing.py                                                                   | Python           |         83 |         16 |         22 |        121 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\controlib\simulation1.py                                                                     | Python           |         67 |         37 |         30 |        134 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\controlib\systembuild.py                                                                     | Python           |         58 |          6 |         17 |         81 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\comms.py                                                                                 | Python           |         86 |         13 |         29 |        128 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\complementaryfilter.py                                                                   | Python           |        193 |         10 |         53 |        256 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\cooperativepathfollowing.py                                                              | Python           |        275 |         41 |         96 |        412 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\extendedkalmanfilter.py                                                                  | Python           |        154 |         23 |         39 |        216 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\kinematics.py                                                                            | Python           |         55 |          6 |         22 |         83 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\movingpathfollowing.py                                                                   | Python           |        143 |        189 |         40 |        372 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\pathfollowing.py                                                                         | Python           |        122 |         13 |         37 |        172 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim10\plot.py                                                                            | Python           |        102 |        167 |         42 |        311 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim10\run.py                                                                             | Python           |        150 |         18 |         37 |        205 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim10\systembuild.py                                                                     | Python           |        269 |         15 |         64 |        348 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim11\plot.py                                                                            | Python           |        164 |        123 |         35 |        322 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim11\run.py                                                                             | Python           |        148 |         17 |         30 |        195 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim11\systembuild.py                                                                     | Python           |        337 |         16 |         82 |        435 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim12\plot.py                                                                            | Python           |        164 |        170 |         40 |        374 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim12\run.py                                                                             | Python           |        180 |         18 |         39 |        237 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim12\systembuild.py                                                                     | Python           |        464 |         26 |         90 |        580 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim1\plot.py                                                                             | Python           |         50 |          9 |         22 |         81 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim1\run.py                                                                              | Python           |         34 |         15 |         15 |         64 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim1\systembuild.py                                                                      | Python           |         64 |          8 |         21 |         93 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim2\plot.py                                                                             | Python           |         42 |         99 |         21 |        162 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim2\run.py                                                                              | Python           |         42 |         14 |         16 |         72 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim2\systembuild.py                                                                      | Python           |        101 |         27 |         39 |        167 |
| c:\Users\fbcat\Documents\Tese_DSOR_ISR\Github\Thesis\Simulations\lib\sim3\plot.py                                                                             | Python           |         71 |         94 |         29 |        194 |
